"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"732",NA,NA,27393,NA,"tora1261",NA,8192,8192,8,-2.97,119.83,"Austronesian","#5E9AC4",NA,"#C52B2F","#C52B2F"
"733",NA,NA,27404,NA,"tora1259",NA,8192,8192,8192,-6.55,155.93,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"734",NA,NA,27413,NA,"toto1252",NA,8192,128,2,20.54,-97.69,"Totonacan","#5E9AC4",NA,"#88C1CA","#88C1CA"
"735",NA,NA,27446,NA,"mira1251",NA,128,16,2,41.32,-7.38,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"736",NA,NA,27457,NA,"trin1276",NA,8192,8192,2,10.39,-61.22,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"737",NA,NA,27462,NA,"trin1276",NA,8192,8192,1024,10.25,-61.33,"Indo-European","#5E9AC4",NA,"#C52B2F","#5E9AC4"
"738","Ig2","xd852",27479,"Trobriands","kili1267","3",128,1024,2,-8.67,150.91,"Austronesian","#F1635B","#F6C3C3","#5E9AC4","#88C1CA"
"739","If2","xd833",27490,"Trukese","chuu1238","1",8192,16,2,7.41,151.78,"Austronesian","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"740","Si2","xd1399",27501,"Trumai","trum1247","2",8192,128,2,-11.81,-53.57,"Trumai (language isolate)","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"741",NA,NA,27523,NA,"tsim1258",NA,128,16,2,54.62,-129.52,"Tsimshian (language isolate)","#F1635B",NA,"#F6C3C3","#88C1CA"
"742",NA,NA,27545,NA,"tuar1240",NA,2,16,2,16.92,7.67,"Afro-Asiatic","#88C1CA",NA,"#F6C3C3","#88C1CA"
"743","Se12","xd1365",27589,"Tucano","tuca1252",NA,8192,16,2,0.58,-69.58,"Tucanoan","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"744","Se2","xd1366",27600,"Ticuna","ticu1245","1",8192,128,2,-3.66,-69.87,"Ticuna-Yuri","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
